"Scenario","Variable","Region","Sector","Units","2025","2026","2027","2028","2029","2030"
"S01","GDPR","USA","NA","Percentage GDP Deviation",0.000728800347234,-0.0190473434295535,0.000290581890421,0.0018198589262511,0.0008678210397725,0.0005615785796074
"S01","GDPR","JPN","NA","Percentage GDP Deviation",0.0013143782571758,-0.0726966806353339,-0.0036433059924407,0.0046630704081545,0.0043882802468593,0.0041334858850487
"S01","GDPR","EUW","NA","Percentage GDP Deviation",0.0013578595759524,-0.0790173562739327,-0.006368132796384,0.0045619858088281,0.0046704633166018,0.0042852773215248
"S01","GDPR","AUS","NA","Percentage GDP Deviation",-0.0002657343014192,-0.0201598655602881,0.0024025249508939,0.0051865088046394,0.0027807141340553,0.0012594534879337
"S01","GDPR","KOR","NA","Percentage GDP Deviation",0.0046786508347675,-0.135091091060748,-0.012551371217226,0.0056800713977419,0.0075184498769892,0.0083815073218847
"S01","GDPR","ADV","NA","Percentage GDP Deviation",-6.92849033679e-05,-0.0133919191742483,0.0009968672374708,0.0026491885203552,0.0010157031334915,0.000367917977425
"S01","GDPR","CHN","NA","Percentage GDP Deviation",0.0021769488484486,-0.0524826882897705,0.0011381608842281,0.0062874873328695,0.0041582663696917,0.0027769143979548
"S01","GDPR","IND","NA","Percentage GDP Deviation",0.0074869467874707,-0.158010256336101,-0.0147457480862032,0.0124295119720053,0.0132347775251498,0.0101963642575557
"S01","GDPR","IDN","NA","Percentage GDP Deviation",0.003548259781988,-0.0179284242125061,0.0037412509749373,0.0012009773682656,-1.20798121919e-05,-0.0001959449617884
"S01","GDPR","PHL","NA","Percentage GDP Deviation",0.0047029404357071,-0.052472176222537,-0.0007963549232334,-0.0011542113796615,-0.0012928395310839,-0.0006141914292865
"S01","GDPR","VNM","NA","Percentage GDP Deviation",0.004967901210399,-0.0606212627538108,-0.0014976697876452,0.0072594104175805,0.006065386783146,0.0048102999712233
"S01","GDPR","THA","NA","Percentage GDP Deviation",0.0050653270981135,-0.134345796688907,-0.012593270827302,0.0001612628066401,0.0013866997468311,0.002725672302615
"S01","GDPR","MYS","NA","Percentage GDP Deviation",0.0009606497129456,-0.0317991811498375,0.0005055757585579,0.0033225334545683,0.0020953625779107,0.001400846394798
"S01","GDPR","PAK","NA","Percentage GDP Deviation",0.0043191914485339,-0.0677354608340311,-0.0007199170270885,0.0002926653062255,-0.0016957804004181,-0.0023660652481245
"S01","GDPR","BGD","NA","Percentage GDP Deviation",0.0031259834135165,-0.0269766581028744,4.59689047878e-05,0.0025541178429331,0.0011056394446681,0.0005305427196182
"S01","GDPR","LKA","NA","Percentage GDP Deviation",0.0019764174020586,-0.024376885647914,-0.0021314310784191,-0.0020152770944723,-0.0018997090699145,-0.0014665298545536
"S01","GDPR","ROA","NA","Percentage GDP Deviation",0.0060038965689677,-0.0881373617567415,-0.0070782608248463,-0.0012266155019099,7.94136437758e-05,0.0019175188281488
"S01","GDPR","LAM","NA","Percentage GDP Deviation",8.58091617777e-05,-0.0128940641170093,0.0015376902335421,0.002932771533851,0.0016400893539621,0.0009896663913829
"S01","GDPR","AFR","NA","Percentage GDP Deviation",0.0031427676537417,-0.0282341931244935,0.0010787396702004,0.0026372386724968,0.0014002487668186,0.0009129437190514
"S01","GDPR","MEN","NA","Percentage GDP Deviation",-0.0012538366706081,-0.0061278561721283,0.0007923089187429,0.0016351632223767,0.0005318078898038,-9.22228335539e-05
"S01","GDPR","ROW","NA","Percentage GDP Deviation",0.0003357201353882,-0.0312919405970193,-0.0002988006400128,0.0021296955699547,0.0011004909661306,0.0006205627133462
"S01","INFL","USA","NA","Percentage Point Deviation",0.0003340267200613,0.0041639615798061,-0.0058076274951802,0.0016426083931265,0.0002109024340058,-0.0002174063041593
"S01","INFL","JPN","NA","Percentage Point Deviation",0.0081167586429842,0.0206959257489814,-0.0318285565946042,0.0025022667117014,0.0004636870805541,-0.0009055381667622
"S01","INFL","EUW","NA","Percentage Point Deviation",0.0066814127501758,0.0329778534956304,-0.0412493904812905,0.0017984821191419,0.0010985931391261,-0.0011437067509945
"S01","INFL","AUS","NA","Percentage Point Deviation",-0.001780883195579,0.0040994368424307,-0.0077831597931066,0.0047673320640484,0.0019161290452985,4.12040611408e-05
"S01","INFL","KOR","NA","Percentage Point Deviation",0.0204659098820059,0.0377808643293065,-0.0585299857441157,0.0018167857525953,0.0007343531457593,-0.0021620265144406
"S01","INFL","ADV","NA","Percentage Point Deviation",-0.0021889981743684,0.0053136279300148,-0.0052040021738975,0.0023436455613535,0.0006991561274816,-0.0001988451668211
"S01","INFL","CHN","NA","Percentage Point Deviation",0.005936215660185,0.0076780862592329,-0.0172401340599038,0.0027237806406788,0.0009799134879529,-0.0002725418745797
"S01","INFL","IND","NA","Percentage Point Deviation",0.0210165654198846,0.0583998968071597,-0.0807439938812493,-0.0064354023612267,0.0027239969231374,0.0008921610437085
"S01","INFL","IDN","NA","Percentage Point Deviation",0.0107416317600695,-0.0323107542232748,0.0152101709943508,0.0082290512839478,0.0012079142976518,-0.0004665149717198
"S01","INFL","PHL","NA","Percentage Point Deviation",0.0170313055637639,-0.0153127129129071,-0.0026933278757468,0.0060544187527878,-3.59276608464e-05,-0.0017108120353271
"S01","INFL","VNM","NA","Percentage Point Deviation",0.0090537591713513,0.0084722993069164,-0.0239722145920496,0.0028184364055051,0.001897607270962,-0.0001233157707503
"S01","INFL","THA","NA","Percentage Point Deviation",0.0223997353458572,0.0526265782227142,-0.0729821566423539,-0.0005002331477044,-0.0003107979736683,-0.0023616138292937
"S01","INFL","MYS","NA","Percentage Point Deviation",0.0017467845651709,0.0069709465286394,-0.0135526850719714,0.005266155472583,0.0013031328393254,-0.0004904641947689
